id,Title,Authors,Genres,Publishing Date,Pages,Publisher,Language
1150,Lead,Kylie Scott,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Music,November 25th 2014,305,St. Martin's Griffin,English
1151,Eyes of Silver; Eyes of Gold,Ellen O'Connell,Romance;Historical Romance;Westerns;Romance;Historical;Romance;Western Romance;Historical;Historical Fiction,April 8th 2010,418,,
1152,Raw,Belle Aurora,Dark;Romance;Erotica;Bdsm;Adult Fiction;Erotica;Contemporary;Sociology;Abuse,January 13th 2014,333,,
1153,Hot Ticket,Olivia Cunning,Romance;Adult Fiction;Erotica;Contemporary;Romance;Contemporary Romance;Music;Adult,February 5th 2013,365,Sourcebooks Casablanca,English
1154,Dragonfly in Amber,Diana Gabaldon;Sven Christer Swahn;Gunilla Leining,Historical;Historical Fiction;Romance;Fantasy;Fiction;Science Fiction;Time Travel;Historical,August 7th 2001,743,Bantam,English
1155,Demon,Kristina Douglas;Anne Stuart,Paranormal;Angels;Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy;Fantasy;Urban Fantasy,May 31st 2011,389,Pocket,English
1156,I Love You to Death,Natalie Ward,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Young Adult,September 29th 2012,278,Createspace Independent Publishing Platform,English
1157,Rough Ride,Rebecca M. Avery,Romance;Romance;Contemporary Romance,December 28th 2012,244,,
1158,Fifty Shades Darker,E.L. James,Romance;Fiction,September 16th 2011,532,The Writer's Coffee Shop Publishing House,English
1159,A Midnight Dance,Lila DiPasqua,Romance;Historical Romance;Romance;Historical;Adult Fiction;Erotica;Fantasy;Fairy Tales,August 2nd 2011,368,Berkley,English
1160,Change of Heart,Mary Calmes,Romance;M M Romance;Fantasy;Paranormal;Paranormal;Shapeshifters;Romance;Fantasy,November 8th 2009,260,Dreamspinner Press,English
1161,Voyager,Diana Gabaldon,Historical;Historical Fiction;Romance;Fantasy;Fiction;Science Fiction;Time Travel;Historical;Romance;Historical Romance;Adult;Cultural;Scotland;Adventure,August 7th 2001,870,Delta,English
1162,Damaged,H.M. Ward,Romance;New Adult;Contemporary;Romance;Contemporary Romance;Academic;College,April 7th 2013,341,Laree Bailey Press,English
1163,The Outlander Series,Diana Gabaldon,Historical;Historical Fiction;Romance;Fantasy;Historical;Science Fiction;Time Travel;Fiction,October 29th 2012,7852,Dell,English
1164,The Hunchback of Notre-Dame,Victor Hugo;Walter J. Cobb,Classics;Fiction;Historical;Historical Fiction;Cultural;France;European Literature;French Literature,April 10th 2001,510,Signet Classics,English
1165,The Shadow and the Star,Laura Kinsale,Romance;Historical;Romance;Historical Romance;Historical;Historical Fiction;Historical;Victorian,March 1st 2005,464,Avon,English
1166,Prince Charming,Julie Garwood,Romance;Romance;Historical Romance;Historical;Westerns,February 1st 1995,533,Pocket Books,English
1167,Frigid,J. Lynn;Jennifer L. Armentrout,Romance;Contemporary;Romance;Contemporary Romance;Academic;College;Young Adult,July 15th 2013,252,Spencer Hill Contemporary,English
1168,Heart of Darkness,Gena Showalter;Maggie Shayne;Susan Krinard,Fantasy;Paranormal;Romance;Paranormal;Demons;Fantasy;Adult;Fantasy;Mythology;Romance;Paranormal Romance,December 22nd 2009,336,Harlequin Books,English
1169,How to Marry a Marquis,Julia Quinn,Romance;Historical Romance;Romance;Historical;Historical;Regency;Historical;Historical Fiction;Historical Romance;Regency Romance,April 9th 1999,375,Avon,English
1170,Lady Isabella's Scandalous Marriage,Jennifer Ashley,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction,July 6th 2010,316,Berkley Sensation,English
1171,Give Me Tonight,Lisa Kleypas,Romance;Historical Romance;Romance;Historical;Science Fiction;Time Travel;Westerns,April 4th 1989,383,Onyx,English
1172,The Haunted,J.A. Templeton,Young Adult;Fantasy;Paranormal;Paranormal;Ghosts;Romance,January 8th 2012,214,Julia Templeton,
1173,The Fairy Godmother,Mercedes Lackey,Fantasy;Romance;Fantasy;Fairy Tales;Fiction;Fantasy;Magic,November 1st 2004,479,Luna Books,English
1174,Wild Card,Lora Leigh,Romance;Romance;Romantic Suspense;Adult Fiction;Erotica;War;Military;Romance;Contemporary Romance;Contemporary,August 26th 2008,418,St. Martin's Paperbacks,English
1175,A Lover's Lament,K.L. Grayson;B.T. Urruela,War;Military;Romance;Romance;Contemporary Romance;Contemporary;Did Not Finish,October 6th 2015,362,K.L. Grayson; INC,
1176,Sinfully Sexy,Linda Francis Lee,Romance;Romance;Contemporary Romance;Womens Fiction;Chick Lit;Contemporary,September 28th 2004,343,Ivy Books,English
1177,Dark Side of the Moon,Sherrilyn Kenyon,Romance;Paranormal Romance;Fantasy;Paranormal;Fantasy;Paranormal;Vampires;Romance;Fantasy;Urban Fantasy,November 28th 2006,353,St. Martin's Press,English
1178,First Bitten,Samantha Towle,Fantasy;Paranormal;Paranormal;Vampires;Romance;Paranormal Romance;Romance;Shapeshifters;Werewolves,January 22nd 2012,272,Taylor Street Publishing,
1179,Black Dagger Brotherhood: Boxed Set #1-6,J.R. Ward,Paranormal;Vampires;Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Fantasy;Adult;Fantasy;Urban Fantasy;Contemporary;Fantasy;Supernatural;Adult Fiction;Erotica,September 29th 2009,None,Signet,English
1180,Sylvester,Georgette Heyer;Joan Wolf,Romance;Historical;Historical Fiction;Romance;Historical Romance;Historical;Regency;Historical;Fiction,April 23rd 2004,410,Harlequin Books,English
1181,Ascend,Amanda Hocking,Fantasy;Young Adult;Fantasy;Paranormal;Romance,January 11th 2011,326,,
1182,The History of Love,Nicole Krauss,Fiction;Historical;Historical Fiction;Romance;Novels,May 17th 2006,255,Norton,English
1183,His Purrfect Mate,Laurann Dohner,Fantasy;Paranormal;Romance;Paranormal Romance;Paranormal;Shapeshifters;Romance;Adult Fiction;Erotica,May 18th 2011,150,Ellora's Cave,
1184,The Master's Violin,Myrtle Reed,Fiction;Classics,October 1st 2007,324,Kessinger Publishing Company,English
1185,Once Upon a Pirate,Nancy Block,Science Fiction;Time Travel;Romance;Romance;Historical Romance;Historical;Romance;Time Travel Romance;Adventure;Pirates;Fantasy,December 1st 1995,324,HarperPrism,English
1186,The Hunters' Bloodline Series (Book 1),Maria Bunda,Romance,September 17th 2012,243,,None
1187,The Alchemist,Paulo Coelho;Alan R. Clarke,Fiction;Classics;Fantasy;Philosophy;Novels,May 1st 1993,197,HarperCollins,English
1188,Born of the Night,Sherrilyn Kenyon,Romance;Romance;Paranormal Romance;Science Fiction;Fantasy;Paranormal;Fantasy,,560,iPublish.com,
1189,Shattered,Nicole  Banks,Romance;New Adult;Sociology;Abuse,February 12th 2013,270,Professional Publications,None
1190,Feudlings,Wendy  Knight,Fantasy;Fantasy;Paranormal;Young Adult;Fantasy;Magic;Romance;Fantasy;Supernatural,March 18th 2013,283,Astraea Press,
1191,God; Save the Pirate,Ria Warrick,,July 1st 2013,172,Createspace,English
1192,Unspoken,Jesi Lee,Romance,August 6th 2013,267,Jesi Lee,
1193,Searching for Tomorrow,Kathryn McNeill Crane,Romance;New Adult;Contemporary;Romance;Contemporary Romance,October 13th 2013,337,CreateSpace,English
1194,The Blink of Her Eye,Angelica Thaddeus,Suspense;Romance;Adult Fiction;Erotica,November 17th 2013,286,Angelica Thaddeus,None
1195,Essence,A.L. Waddington,Young Adult;Romance;Fantasy;Fantasy;Paranormal;Science Fiction;Time Travel;Historical;Historical Fiction;Contemporary,January 15th 2014,308,Booktrope Publishing,
1196,Unsticky,Sarra Manning,Romance;Womens Fiction;Chick Lit;Contemporary;Romance;Contemporary Romance;Adult;Fiction,,562,Headline Publishing Group,English
1197,Phantom Wolf,Kia Carrington-Russell,Fantasy;Young Adult;Romance;Fantasy;Paranormal;Romance;Paranormal Romance,June 19th 2014,191,Crystal Publishing,English
1198,The Savvy Woman's Secrets to Outwit a Cheating Man,Ellen Ames,Nonfiction,March 29th 2014,112,CreateSpace,None
1199,The Particular Appeal of Gillian Pugsley,Susan Ornbratt,Historical;Historical Fiction;Romance;Historical;Womens Fiction,April 23rd 2015,338,Light Messages Publishing,
1200,Sex; Lies and Litigation,Tyne O'Connell,Womens Fiction;Chick Lit;Roman;Humor,,None,,
1201,Persistent,Allie Kincheloe,Romance,September 14th 2015,220,,
1202,Abuse,Nikki Sex;S.H. Beans,Dark;Romance;Sociology;Abuse;Adult Fiction;Erotica;War;Military;Contemporary;Erotica;Bdsm;Suspense;Romance;Contemporary Romance;Adult,January 13th 2015,310,Ashton Publishing Group,
1203,Find Me I'm Yours,Hillary Carlip,New Adult;Romance;Contemporary;Business;Amazon,November 3rd 2014,None,Rosetta Books,
1204,The Other Woman,Eve Rabi,Romance;Thriller,January 12th 2015,476,,None
1205,September Sky,John A. Heldt,Science Fiction;Time Travel;Historical;Historical Fiction;Romance;Science Fiction;Historical;Fiction,January 1st 2015,412,John A. Heldt,
1206,Camo & Roses (The Dog Tags & Badges Series Book 1),Amanda Springer,Contemporary,February 20th 2015,180,Createspace Independent Publishing Platform,None
1207,Finding Stone,T. Saint John,Romance;Romance;Contemporary Romance;Contemporary,March 2nd 2015,None,Trina San Juan,
1208,Red,Belinda Missen,Romance;Young Adult;Contemporary,March 18th 2015,345,Createspace,None
1209,Tyed,L.J. Shen,Romance;New Adult;Sports and Games;Sports;Academic;College;Warfare;Fighters,July 1st 2015,222,Amazon Digital Services,None
1210,Cara's Twelve,Chantel Seabrook,Fantasy;Romance;Did Not Finish,June 14th 2015,335,Creativia,English
1211,Moondance,Desiree  King,Did Not Finish,May 17th 2015,None,,None
1212,Complicate Me,M.  Robinson,Romance;New Adult;Romance;Contemporary Romance,September 12th 2015,397,Amazon Digital Services; Inc.,
1213,Spin the Love,Lisa Terry,Business;Amazon;Young Adult;Thriller;Mystery Thriller,September 30th 2015,192,Createspace,None
1214,When Fall Fades,Amy Leigh Simpson,Romance;Mystery;Romance;Romantic Suspense;Fiction,October 30th 2015,404,WildBlue Press,
1215,Nautical Miles,N.L. LaFoille,Historical;Romance;Historical Romance,December 6th 2012,217,,None
1216,Inhibitions,KA Berg,Romance;Sports and Games;Sports;Adult Fiction;Erotica,February 20th 2015,303,KimberlyBraccoBooks,
1217,The Scion Princess,Tovaley B. Kysel,Romance;Romance;Paranormal Romance;Fantasy,September 30th 2016,460,Mellor Publishing House,
1218,Jane,Penelope C. Bell,,October 7th 2016,264,IMPRINTLI LLC,
1219,Mistakes of My Past: Escape is just the beginning,Emily     James,Romance;Romance;Contemporary Romance;Suspense;Business;Amazon;Did Not Finish,December 8th 2016,244,,None
1220,How to Walk Like a Man,Eli Easton,Romance;M M Romance;Fantasy;Paranormal;Paranormal;Shapeshifters;Romance,November 13th 2015,241,Pinkerton Road,
1221,Love from Mars,J.P. Cawood,,December 18th 2016,188,HEROmation,None
1222,The Man in Blue,C.S. Luis,Science Fiction;Romance;Paranormal Romance;Did Not Finish,April 6th 2017,None,Createspace Independent Publishing Platform,
1223,Single-Minded,Lisa Daily,Womens Fiction;Chick Lit;Romance;Fiction;Did Not Finish,June 27th 2017,304,Thomas Dunne Books,None
1224,Two Cabins; One Lake,Shaye Marlow,Romance;Romance;Contemporary Romance;Contemporary;Humor;Funny,June 13th 2015,268,Igneous Publishing,
1225,Mrs. Chartwell and the Cat Burglar,Pamela Gossiaux,Romance,November 14th 2017,248,Tri-Cat Publishing,None
1226,The Hope of Azure Springs,Rachel Fordham,,,336,,None
1227,Letters from Home,Kristina McMorris,Historical;Historical Fiction;Romance;Fiction;Historical;War;World War II;Womens Fiction;Chick Lit;Romance;Historical Romance,February 22nd 2011,364,Kensington Books,English
1228,The Wiccan Diaries,T.D. McMichael,Fantasy;Paranormal;Young Adult;Fantasy,December 19th 2013,266,,None
1229,The Grunt,Latrivia S. Nelson,Romance;Interracial Romance;Romance;War;Military;Romance;Contemporary Romance,,326,,
1230,Revealing Eden,Victoria Foyt,Young Adult;Science Fiction;Dystopia;Science Fiction;Fantasy;Romance;Apocalyptic;Post Apocalyptic;Fiction;Did Not Finish;Young Adult;Teen;Adventure,January 10th 2012,307,Sand Dollar Press Inc,
1231,Fate,A.C. Heller,Fantasy;Paranormal;Romance;Fantasy;Paranormal;Angels;Romance;Paranormal Romance,August 8th 2013,167,Amazon Digital Services,None
1232,Insufferable Proximity,Z. Stefani,Adult Fiction;Erotica;Romance;Erotica;Bdsm;Contemporary;Romance;Erotic Romance,February 28th 2012,737,,None
1233,Liberty Belle,Max Cummings,War;Military;Adult Fiction;Erotica;Holiday,July 3rd 2014,84,Maxxx Cummings,None
1234,Scarred - An American Warrior's Tale,Max Cummings,Romance;War;Military,July 30th 2014,48,Max Cummings,None
1235,Crushed,Gina Robinson,New Adult;Young Adult,October 20th 2014,221,Amazon Publishing,;
1236,Western The Series (Western Romance; #1),Juliet Sassy,,April 10th 2015,49,Cowboy Romance Publishing,None
1237,Vintage Dreams,Jannie Lund,Romance;Womens Fiction;Chick Lit;Adult;Fiction;Contemporary,January 2016,162,Satin Romance; an imprint of Melange Books; Llc,;
1238,From Winter's Ashes,Amy Leigh Simpson,Romance;Mystery;Contemporary;Romance;Romantic Suspense;Suspense,June 7th 2016,418,WildBlue Press,
1239,Reginald Bones: Part One,Lucian Bane,Dark;Suspense;Thriller;Adult Fiction;Erotica,December 15th 2016,308,,
1240,Grave Refrain,Sarah M. Glover,Romance;Paranormal Romance;Fantasy;Paranormal;Romance;Paranormal;Ghosts;Mystery;Fantasy,February 14th 2012,484,Omnific Publishing,None
1241,How to Kill a Rock Star,Tiffanie DeBartolo,Romance;Contemporary;Music;Romance;Contemporary Romance;New Adult;Fiction;Womens Fiction;Chick Lit,September 1st 2005,415,Sourcebooks Landmark,English
1242,Face the Fire,Nora Roberts,Romance;Fantasy;Paranormal;Fantasy;Fiction;Romance;Contemporary Romance;Romance;Paranormal Romance,May 1st 2002,358,Judy Piatkus,English
1243,Mirage Beyond Flames,Melinda De Ross,Romance,November 28th 2013,None,Melinda De Ross,
1244,Scarlet,Marissa Meyer,Fantasy;Young Adult;Science Fiction,February 5th 2013,454,Feiwel & Friends,English
1245,Reckless Endangerment,Amber Lea Easton,Romance;Romantic Suspense;Romance;War;Military;Contemporary;Romance;Contemporary Romance;Suspense;Thriller,April 12th 2013,342,Mountain Moxie Publishing,None
1246,Guitar Face,Sasha Marshall,Romance;Music;Business;Amazon,May 29th 2015,219,Amazon Digital Services; Inc.,None
1247,The Mirror,John A. Heldt,Science Fiction;Time Travel;Romance;Historical;Fiction;Historical;Historical Fiction,March 1st 2014,384,John A. Heldt,
1248,Burning Moon,Jo Watson,Romance;Womens Fiction;Chick Lit;Romance;Contemporary Romance;Fiction;New Adult;Contemporary,November 1st 2016,304,Forever,English
1249,The Harem,Thomas Sweeney,Romance;Erotic Romance;Romance;Adult Fiction;Erotica,November 11th 2014,556,Kralik Consultants LLC,English
1250,The Billionaire Rancher's Bargain for A Bride,J.J.  Fox,,March 22nd 2015,73,Freed Publishing : The Billionaire Rancher's Bargain for A Bride; Cowboy's Bride,None
1251,No Turning Back,Neva Squires-Rodriguez,,May 7th 2015,None,Smashwords Edition,
1252,Wet Part 1,S. Jackson Rivera,Romance;Contemporary Romance;Romance;New Adult,April 27th 2015,300,Createspace Independent Publishing Platform,None
1253,The Republic of Love,Carol Shields,Fiction;Cultural;Canada;Romance;Literary Fiction;Literature;Canadian Literature,September 20th 1994,384,Vintage Canada,English
1254,Crave Me,M.  Robinson,Romance;New Adult,May 10th 2016,325,,None
1255,There's No Crying in Rock-n-Roll,Sasha Marshall,Romance;Music;Humor;Funny;Contemporary,May 29th 2015,340,Amazon Digital Services; Inc.,None
1256,Finding You,Jo Watson,Romance;Romance;Contemporary Romance;Fiction;Adult;Womens Fiction;Chick Lit;Contemporary,May 2nd 2017,368,Forever,
1257,Ice in My Veins,Kelli Sullivan,Sports and Games;Sports;Young Adult;Romance;New Adult,November 24th 2010,272,Authorhouse,
1258,Noble Cause: A Novel of Love and War,Jessica James,Historical;Historical Fiction;Romance;Military History;Civil War;Romance;Historical Romance;Fiction;Historical,March 29th 2011,384,,
1259,The Road to London,Adriano Bulla,Science Fiction;Romance;M M Romance;Lgbt;Fiction,November 18th 2013,154,Glastonbury Publishing / Mirador / Netherworld Books,None
1260,Amour Amour,Krista Ritchie;Becca Ritchie,New Adult;Romance;Contemporary;Romance;Contemporary Romance,December 12th 2014,347,,English
1261,The Horse Dealer’s Bargain for A Bride: Horse Dealer Texas Cowboy (JJ Fox Sweet Western Romance The Series Book 3),J.J. Fox,Christian,April 15th 2015,36,Freed Publishing : The Horse Dealer’s Bargain for A Bride,None
1262,In Too Deep,Neva Squires-Rodriguez,,December 9th 2014,214,Vanilla Heart Publishing,English
1263,Bold Seduction,Karyn Gerrard,Romance;Historical Romance;Romance;Historical;Historical;Historical Fiction,September 1st 2015,121,Lyrical Press,
1264,Two Captains; One Chair,Shaye Marlow,Romance;Contemporary;Humor;Funny;Womens Fiction;Chick Lit;Humor,November 18th 2015,347,Igneous Publishing,
1265,Two Brutes; One Barista,Shaye Marlow,Romance;Humor;Contemporary;Humor;Funny;Romance;Contemporary Romance,December 27th 2016,380,Igneous Publishing,
1266,Charming the Prince,Teresa Medeiros,Romance;Historical Romance;Historical;Romance;Historical;Medieval;Historical;Historical Fiction;Fantasy;Fairy Tales,April 6th 1999,342,Bantam,English
1267,Wicked Wonderland,Lisa Whitefern,Erotica;Menage;Romance;Fantasy;Paranormal;Adult Fiction;Erotica;Romance;M M Romance;Menage;M M F;Romance;Paranormal Romance;Fantasy,December 4th 2012,263,Samhain Publishing; Ltd.,
1268,The Reluctant Dom,Tymber Dalton,Erotica;Bdsm;Adult Fiction;Erotica;Romance;Erotica;Menage;Contemporary,July 3rd 2012,318,Siren Publishing,
1269,Trust Trilogy,Cristiane Serruya,Romance;Contemporary Romance,July 14th 2014,1900,Cristiane Serruya,
1270,Girl Next Door,Max Cummings,Adult Fiction;Erotica,July 4th 2014,26,Max Cummings,None
1271,Liliana,Neva Squires-Rodriguez,Young Adult;Novella;Fantasy,August 18th 2014,119,Smashwords Edition,English
